frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
13,8.4,8.38,2.53,2.53,6.03,4.41,14.54,0.1,0.042,0.06
14,8.19,8.18,2.56,2.56,6.12,3.91,14.51,0.09,0.037,0.06
15,8.19,8.18,2.56,2.56,6.12,3.91,14.51,0.09,0.037,0.06
16,8.19,8.18,2.56,2.56,6.12,3.91,14.51,0.09,0.037,0.06
17,8.19,8.18,2.56,2.56,6.12,3.91,14.51,0.09,0.037,0.06
1,8.31,8.32,2.41,2.5,6.04,4.7,14.27,0.06,0.033,0.08
2,8.26,8.25,2.45,2.44,5.99,3.4,13.94,0.04,0.043,0.06
3,8.03,8.03,2.55,2.49,5.85,3.14,13.63,0.01,0.049,0.04
4,8.17,8.21,2.56,2.55,5.45,2.32,11.6,0.03,0.062,0.06
5,8.12,8.16,2.63,2.64,5.76,1.56,12.5,0.04,0.065,0.07
6,8.28,8.32,2.6,2.6,5.79,1.55,12.03,0.06,0.06,0.07
7,8.35,8.36,2.56,2.57,5.5,1.25,9.72,0.07,0.055,0.07
8,8.31,8.32,2.58,2.59,5.5,3.76,9.74,0.09,0.056,0.07
9,8.17,8.16,2.52,2.52,5.87,1.85,13.2,0.09,0.047,0.07
10,8.05,8.02,2.56,2.54,6.01,1.77,14.11,0.09,0.045,0.06
11,8.12,8.1,2.68,2.67,5.92,1.55,14.24,0.09,0.041,0.06
12,8.31,8.29,2.52,2.51,6.09,4.34,14.84,0.09,0.042,0.05
13,8.31,8.28,2.53,2.52,6.04,4.78,14.43,0.1,0.039,0.05
14,8.4,8.39,2.51,2.51,6.06,4.51,14.5,0.1,0.04,0.06
15,8.19,8.18,2.55,2.56,6.11,3.78,14.48,0.09,0.039,0.06
16,8.21,8.19,2.57,2.57,6.04,4.12,14.57,0.1,0.037,0.05
17,8.21,8.19,2.57,2.57,6.04,4.12,14.57,0.1,0.037,0.05
18,8.21,8.19,2.57,2.57,6.04,4.12,14.57,0.1,0.037,0.05
19,8.21,8.19,2.57,2.57,6.04,4.12,14.57,0.1,0.037,0.05
1,7.81,7.78,3.33,3.22,6.17,1.39,14.13,0.09,-0.012,0.04
2,8.64,8.6,2.43,2.35,5.95,5.43,14.24,0.02,0.037,0.04
3,8.39,8.37,2.42,2.39,6.09,4.91,14.07,0.04,0.041,0.04
4,8.07,8.08,2.5,2.43,5.81,3.14,13.54,0.03,0.052,0.03
5,8.09,8.12,2.52,2.48,5.69,2.39,12.87,0.04,0.055,0.05
6,8.25,8.29,2.53,2.5,5.54,2.41,11.51,0.04,0.066,0.06
7,8.16,8.2,2.51,2.5,5.79,1.7,12.33,0.04,0.066,0.07
8,8.3,8.33,2.52,2.51,5.76,1.67,12.1,0.05,0.063,0.07
9,8.35,8.36,2.57,2.58,5.4,1.4,8.76,0.07,0.056,0.07
10,8.31,8.33,2.51,2.52,5.52,3.86,9.61,0.1,0.055,0.07
11,8.17,8.15,2.52,2.52,5.86,1.85,13.2,0.09,0.047,0.07
12,8.04,8.02,2.55,2.53,5.98,1.79,14.09,0.09,0.045,0.06
13,8.13,8.1,2.59,2.57,6.06,1.39,14.42,0.08,0.041,0.05
14,8.27,8.25,2.56,2.56,6.17,3.37,15.06,0.09,0.041,0.06
15,8.42,8.4,2.57,2.57,5.99,4.77,14.62,0.1,0.041,0.06
16,8.19,8.18,2.59,2.6,5.96,4.13,14.46,0.1,0.038,0.06
17,8.22,8.2,2.54,2.54,6.09,4.45,14.42,0.1,0.037,0.06
18,8.22,8.2,2.54,2.54,6.09,4.45,14.42,0.1,0.037,0.06
19,8.22,8.2,2.54,2.54,6.09,4.45,14.42,0.1,0.037,0.06
20,8.22,8.2,2.54,2.54,6.09,4.45,14.42,0.1,0.037,0.06
21,8.22,8.2,2.54,2.54,6.09,4.45,14.42,0.1,0.037,0.06
1,8.44,8.41,2.5,2.51,5.89,1.41,13.64,0.02,0.031,0.05
2,8.06,8.08,2.51,2.48,5.7,2.4,12.92,0.04,0.055,0.05
3,8.23,8.29,2.53,2.5,5.52,2.39,11.49,0.04,0.064,0.06
4,8.16,8.21,2.51,2.49,5.79,1.66,12.34,0.05,0.067,0.06
5,8.31,8.34,2.53,2.53,5.76,1.66,12.1,0.06,0.062,0.07
6,8.36,8.38,2.57,2.58,5.4,1.39,8.73,0.08,0.058,0.07
7,8.3,8.32,2.51,2.53,5.51,3.81,9.63,0.09,0.054,0.07
8,8.16,8.14,2.52,2.53,5.86,1.85,13.19,0.09,0.046,0.07
9,8.05,8.02,2.55,2.53,5.99,1.79,14.09,0.09,0.045,0.06
10,8.23,8.21,2.67,2.66,6.06,2.77,14.97,0.09,0.041,0.05
11,8.33,8.31,2.57,2.57,6.06,3.8,14.54,0.1,0.044,0.06
12,8.42,8.4,2.57,2.57,6.0,4.79,14.61,0.1,0.04,0.06
13,8.22,8.19,2.55,2.54,6.13,4.39,14.45,0.1,0.038,0.05
14,8.2,8.19,2.57,2.57,6.03,3.9,14.51,0.1,0.038,0.06
15,8.2,8.19,2.57,2.57,6.03,3.9,14.51,0.1,0.038,0.06
16,8.2,8.19,2.57,2.57,6.03,3.9,14.51,0.1,0.038,0.06
17,8.2,8.19,2.57,2.57,6.03,3.9,14.51,0.1,0.038,0.06
1,8.92,8.89,2.58,2.52,6.09,4.47,14.67,0.02,0.037,0.04
