frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
381,8.41,8.36,1.87,1.98,6.84,4.45,17.95,0.08,-0.033,0.08
382,8.4,8.34,1.88,1.99,6.84,4.18,17.92,0.08,-0.034,0.07
383,8.39,8.35,1.9,2.01,6.85,4.17,17.94,0.08,-0.03,0.08
384,8.41,8.37,1.87,1.98,6.85,4.68,17.98,0.08,-0.03,0.08
385,8.4,8.36,1.86,1.98,6.84,4.61,17.96,0.08,-0.031,0.08
386,8.4,8.36,1.86,1.98,6.84,4.61,17.96,0.08,-0.031,0.08
387,8.4,8.36,1.86,1.98,6.84,4.61,17.96,0.08,-0.031,0.08
388,8.4,8.36,1.86,1.98,6.84,4.61,17.96,0.08,-0.031,0.08
389,8.4,8.36,1.86,1.98,6.84,4.61,17.96,0.08,-0.031,0.08
390,8.41,8.37,1.86,1.97,6.83,4.2,17.93,0.08,-0.034,0.07
391,8.41,8.37,1.86,1.97,6.83,4.2,17.93,0.08,-0.034,0.07
392,8.42,8.39,1.86,1.98,6.85,4.49,17.98,0.08,-0.03,0.08
393,8.42,8.37,1.85,1.97,6.84,4.52,17.96,0.08,-0.033,0.07
394,8.4,8.36,1.85,1.97,6.86,4.64,17.98,0.08,-0.032,0.08
395,8.4,8.37,1.85,1.97,6.85,4.55,17.97,0.08,-0.03,0.08
396,8.41,8.37,1.86,1.97,6.85,4.55,17.96,0.08,-0.03,0.08
397,8.41,8.37,1.85,1.96,6.85,4.57,17.96,0.08,-0.031,0.07
398,8.4,8.36,1.87,1.99,6.85,4.16,17.93,0.08,-0.031,0.08
399,8.41,8.38,1.86,1.98,6.85,4.49,17.95,0.08,-0.031,0.08
400,8.42,8.38,1.85,1.96,6.85,4.64,17.96,0.08,-0.032,0.07
401,8.41,8.38,1.86,1.98,6.85,4.21,17.96,0.08,-0.03,0.08
402,8.43,8.39,1.84,1.96,6.85,4.73,17.93,0.08,-0.031,0.08
403,8.4,8.36,1.87,1.98,6.85,4.27,17.98,0.08,-0.032,0.08
404,8.41,8.36,1.87,1.98,6.84,4.25,17.92,0.08,-0.034,0.07
405,8.42,8.37,1.86,1.98,6.84,4.58,17.92,0.08,-0.034,0.07
