frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
4,5.76,5.74,2.41,2.35,6.51,1.0,13.02,0.05,-0.021,0.12
5,5.71,5.72,2.46,2.42,6.53,0.91,13.52,0.06,-0.018,0.12
6,5.69,5.65,2.44,2.45,6.48,0.86,13.71,0.06,-0.03,0.13
7,5.69,5.61,2.89,2.9,6.51,0.92,13.52,0.05,-0.032,0.14
8,5.83,5.75,2.63,2.67,6.46,1.02,13.89,0.07,-0.024,0.12
9,5.68,5.6,2.54,2.58,6.39,1.01,13.7,0.06,-0.022,0.12
10,5.72,5.61,3.14,3.16,6.51,0.97,14.02,0.07,-0.016,0.11
11,5.7,5.64,3.07,3.07,6.7,1.55,14.95,0.08,-0.009,0.1
12,5.9,5.85,3.15,3.17,6.66,1.31,14.63,0.09,-0.009,0.09
13,6.09,5.96,3.33,3.33,6.37,0.89,13.85,0.15,-0.009,0.09
14,6.08,5.98,3.51,3.47,6.27,0.77,13.22,0.19,-0.005,0.09
15,6.49,6.46,2.72,2.72,6.21,0.62,13.31,0.14,-0.005,0.09
16,6.41,6.38,2.47,2.49,6.5,1.12,14.75,0.08,-0.006,0.09
17,6.51,6.46,2.81,2.81,6.36,0.88,13.89,0.03,-0.004,0.1
18,6.55,6.5,2.78,2.81,6.32,0.75,13.87,0.02,-0.005,0.1
19,6.67,6.61,2.8,2.8,6.3,0.72,13.81,0.03,-0.006,0.1
20,6.69,6.65,2.56,2.59,6.27,0.82,13.72,0.01,-0.014,0.11
21,7.15,7.08,2.54,2.51,6.17,0.68,13.92,0.01,-0.022,0.08
22,7.3,7.29,2.38,2.39,6.14,0.79,14.18,-0.03,-0.026,0.07
23,7.35,7.34,2.51,2.52,6.13,0.84,14.09,-0.07,-0.034,0.07
24,7.18,7.16,2.71,2.72,6.27,0.84,13.7,-0.08,-0.038,0.06
25,7.04,7.01,2.43,2.44,6.18,0.68,13.51,-0.14,-0.044,0.06
26,7.03,7.0,2.42,2.43,6.29,0.74,13.31,-0.15,-0.043,0.07
27,7.13,7.1,2.73,2.74,6.39,0.79,13.41,-0.2,-0.035,0.08
28,7.17,7.14,2.77,2.79,6.35,0.68,13.48,-0.23,-0.044,0.08
29,7.49,7.45,2.35,2.4,6.24,0.73,13.79,-0.25,-0.049,0.1
30,8.92,8.9,1.93,1.99,6.2,0.7,14.16,-0.29,-0.056,0.1
31,8.81,8.76,2.0,2.04,6.52,0.62,14.18,-0.3,-0.073,0.11
32,8.52,8.44,1.93,1.95,6.38,0.55,14.1,-0.29,-0.09,0.11
33,7.69,7.65,1.97,2.01,6.21,0.62,13.97,-0.25,-0.103,0.12
